m/z	I	
861.7947	116	
862.1238	173	
862.5748	125	
862.9178	102	
863.1207	184	
863.4481	103	
863.8009	889	
864.1349	695	
864.4683	573	
864.5049	195	
864.5641	116	
864.6270	129	
864.7104	117	
864.8008	303	
864.9122	120	
865.0909	183	
865.1242	170	
865.1590	194	
865.2941	146	
865.4601	161	
865.6289	198	
866.1153	127	
866.5251	190	
866.7251	369	
866.9251	334	
867.1231	274	
867.3266	138	
868.1012	190	
868.4596	916	
868.6268	2373	
868.7932	2614	
868.9611	2032	
869.1242	1312	
869.2956	634	
869.4555	514	
869.6286	239	
869.8022	814	
870.1359	766	
870.3271	109	
870.4706	465	
870.8075	294	
871.0584	102	
871.4620	275	
871.6269	494	
871.7954	563	
871.9641	569	
872.1254	240	
872.2983	108	
872.4623	100	
873.1178	250	
873.1697	174	
873.4530	178	
873.7866	153	
874.1068	112	
875.1206	164	
875.4530	164	
876.1209	233	
876.4469	211	
876.7799	180	
877.1156	240	
877.6050	113	
878.1363	725	
878.6240	139	
879.1194	514	
879.4544	199	
879.7890	214	
880.1102	195	
880.4504	208	
880.7846	108	
881.1187	173	
882.1183	123	
882.4535	128	
883.1166	126	
884.1179	168	
884.4522	253	
884.7867	430	
885.1206	306	
885.4538	109	
886.1287	269	
886.4533	101	
886.6300	228	
886.7868	123	
887.1326	211	
887.6265	401	
888.1329	407	
888.1888	377	
888.6265	161	
889.1325	185	
889.1931	170	
889.6321	102	
889.7786	313	
890.1175	304	
890.4549	1029	
890.7902	1105	
890.8864	406	
891.1314	1042	
891.3882	425	
891.4590	299	
891.6373	365	
891.7949	142	
891.8890	191	
893.1495	191	
894.1348	366	
894.3817	525	
894.6320	428	
894.8824	309	
895.1340	305	
895.3875	276	
895.6387	482	
895.7795	258	
895.8895	329	
896.1468	1358	
896.3869	148	
896.4568	273	
896.6244	111	
896.7912	299	
897.1381	324	
897.3809	187	
897.4629	132	
897.6339	199	
898.1424	192	
899.1405	143	
901.1438	118	
901.8864	180	
902.1312	279	
902.4549	146	
903.1209	117	
903.4618	103	
903.7317	116	
903.9349	107	
904.1332	173	
905.0441	472	
905.1505	944	
905.7954	182	
905.9623	156	
906.0480	183	
906.1517	804	
906.1998	514	
906.7325	157	
906.9320	148	
907.0460	120	
907.1453	327	
907.2020	148	
907.3342	178	
907.5365	146	
907.8753	143	
908.1272	260	
908.3773	305	
908.6273	227	
909.3752	120	
909.6222	398	
909.8706	532	
910.1244	407	
910.3734	220	
910.5279	105	
910.6216	201	
910.8773	231	
911.1568	356	
911.3796	206	
911.6285	166	
912.1378	286	
912.3352	260	
912.5371	267	
912.6278	108	
912.7360	180	
912.8790	109	
912.9362	116	
913.1273	194	
914.1237	180	
914.3767	198	
914.6272	157	
914.8735	159	
915.7359	123	
915.9372	162	
916.1851	2119	
916.3371	141	
916.4331	130	
916.7676	136	
917.1111	175	
917.1853	775	
917.3733	112	
917.6274	203	
918.1848	226	
919.1251	204	
919.3217	123	
919.4593	113	
919.5232	143	
922.1319	104	
923.1296	121	
924.1599	158	
924.3001	152	
924.4656	293	
924.6330	450	
924.8005	416	
924.9666	241	
925.1325	225	
925.3045	112	
925.9253	102	
926.1225	155	
926.3238	101	
926.5998	116	
927.1175	359	
928.1245	145	
929.1292	148	
929.1813	240	
929.6377	117	
930.1281	101	
930.1795	102	
931.1434	270	
931.6478	196	
932.1486	335	
932.6557	169	
934.1942	1162	
935.1206	168	
935.1815	499	
935.6155	119	
936.1829	229	
937.1556	209	
937.6539	146	
938.4556	103	
939.1257	118	
940.0937	183	
940.1474	159	
941.1422	106	
942.1395	174	
944.1556	2267	
944.6514	822	
945.1548	1489	
945.6532	275	
946.1528	606	
946.6530	101	
947.1887	335	
948.1367	103	
948.1932	124	
948.5350	118	
948.7350	147	
949.1361	182	
950.1418	175	
951.1441	724	
951.6452	469	
952.1461	253	
953.1382	134	
953.6577	1181	
954.1579	1001	
954.6579	496	
955.1120	160	
955.1567	218	
956.0703	348	
957.0731	140	
958.1030	744	
959.1125	345	
959.6236	101	
960.1500	256	
960.6467	173	
962.1630	700	
962.6586	228	
963.1566	1075	
963.6560	651	
964.1560	388	
964.6540	138	
966.1313	364	
966.4859	425	
966.8182	195	
967.1127	411	
967.9408	122	
968.1118	776	
968.2039	217	
969.1153	332	
969.4756	234	
969.8122	272	
970.1399	224	
970.4792	203	
970.6579	188	
970.8147	125	
971.1343	408	
971.6580	247	
972.1579	848	
972.4875	341	
972.6610	373	
972.8226	268	
973.1181	343	
973.1582	293	
973.6542	141	
973.8996	202	
974.0831	338	
974.1480	358	
974.4027	158	
974.4846	335	
974.8206	165	
975.0845	126	
975.1484	140	
975.4798	304	
975.8147	332	
976.1353	316	
976.3455	181	
976.5440	194	
976.6270	168	
976.7438	240	
976.9449	119	
977.1376	390	
977.3946	320	
977.6426	349	
977.8939	155	
978.1388	282	
978.4025	171	
978.6539	181	
978.9033	142	
979.1237	227	
979.6643	186	
980.1525	222	
981.1404	218	
981.6423	138	
981.8948	136	
982.1276	350	
982.6242	212	
982.8018	103	
983.0842	746	
984.0887	369	
984.1337	476	
984.6380	132	
985.1307	429	
986.1224	702	
986.2113	202	
987.1250	245	
988.1266	125	
988.8011	145	
989.1359	220	
989.4718	202	
989.8078	117	
990.1366	162	
991.1327	1047	
991.4683	142	
991.6327	368	
992.1342	462	
992.6323	110	
993.1389	254	
993.6399	314	
994.1385	413	
994.6367	235	
995.1367	152	
996.1440	839	
996.4676	228	
